"V1" "V2"
"STP1" "tG(GCC)B"
"STP1" "tG(GCC)E"
"STP1" "tN(GUU)K"
"STP1" "tQ(UUG)C"
"STP1" "tQ(UUG)D1"
"STP1" "tQ(UUG)E1"
"STP1" "tT(UGU)P"
"GCN4" "YAL068C"
"GCN4" "YAL067C"
"GCN4" "YAL065C"
"GCN4" "YAL064W-B"
"GCN4" "YAL064C-A"
"GCN4" "YAL064W"
"GCN4" "YAL063C"
"GCN4" "YBR089C-A"
"GCN4" "YBR090C"
"GCN4" "YBR091C"
"GCN4" "YBR092C"
"GCN4" "YBR093C"
"GCN4" "YBR094W"
"GCN4" "YBR095C"
"GCN4" "YBR096W"
"GCN4" "YBR097W"
"GCN4" "YBR098W"
"GCN4" "YBR101C"
"GCN4" "YBR102C"
"GCN4" "YBR103W"
"GCN4" "YBR104W"
"GCN4" "YBR105C"
"GCN4" "YBR106W"
"GCN4" "YBR107C"
"GCN4" "YBR108W"
"GCN4" "YBR109C"
"GCN4" "YBR110W"
"GCN4" "YBR111C"
"GCN4" "YBR112C"
"GCN4" "YBR114W"
"GCN4" "YBR115C"
"GCN4" "YBR117C"
"GCN4" "YBR118W"
"GCN4" "YBR119W"
"GCN4" "YBR120C"
"GCN4" "YBR121C"
"GCN4" "YBR122C"
"GCN4" "YBR123C"
"GCN4" "YBR125C"
"GCN4" "YBR126C"
"GCN4" "YBR127C"
"GCN4" "YBR128C"
"GCN4" "YBR129C"
"GCN4" "YBR130C"
"GCN4" "YBR131W"
"GCN4" "YBR132C"
"GCN4" "YBR133C"
"GCN4" "YBR135W"
"GCN4" "YBR136W"
"GCN4" "YBR137W"
"GCN4" "YBR138C"
"GCN4" "YBR139W"
"GCN4" "YBR140C"
"GCN4" "YBR141C"
"GCN4" "YBR142W"
"GCN4" "YBR143C"
"GCN4" "YBR144C"
"GCN4" "YBR145W"
"GCN4" "YBR146W"
"GCN4" "YBR147W"
"GCN4" "YBR148W"
"GCN4" "YBR149W"
"GCN4" "YBR150C"
"GCN4" "YBR151W"
